id,current_age,retirement_age,gender,per_capita_income,yearly_income,total_debt,credit_score,num_credit_cards
825,53,66,Female,29278.00,59696.00,127613.00,787,5
1746,53,68,Female,37891.00,77254.00,191349.00,701,5
1718,81,67,Female,22681.00,33483.00,196.00,698,5
708,63,63,Female,163145.00,249925.00,202328.00,722,4
1164,43,70,Male,53797.00,109687.00,183855.00,675,1
68,42,70,Male,20599.00,41997.00,0.00,704,3
1075,36,67,Female,25258.00,51500.00,102286.00,672,3
1711,26,67,Male,26790.00,54623.00,114711.00,728,1
1116,81,66,Female,26273.00,42509.00,2895.00,755,5
1752,34,60,Female,18730.00,38190.00,81262.00,810,1
192,27,66,Male,27548.00,56164.00,15224.00,761,2
640,29,63,Female,22427.00,45727.00,94016.00,629,1
1679,18,67,Female,33914.00,69149.00,89214.00,776,1
1094,34,62,Male,20325.00,41442.00,78833.00,712,3
1590,48,62,Female,10059.00,20513.00,32509.00,599,1
1660,41,68,Female,11342.00,23123.00,5079.00,723,6
1747,54,71,Male,17898.00,36497.00,38333.00,719,6
153,76,71,Female,21950.00,27484.00,16803.00,660,4
429,22,68,Male,26481.00,53995.00,89056.00,683,3
511,66,68,Male,17460.00,35602.00,55369.00,661,5
309,28,57,Male,12321.00,25122.00,43205.00,819,3
777,18,65,Male,106305.00,216740.00,0.00,700,2
1946,76,66,Male,19524.00,41109.00,21486.00,698,2
1674,70,64,Male,14172.00,26858.00,11245.00,712,2
482,45,65,Male,17131.00,34929.00,63849.00,714,1
877,36,63,Female,16829.00,34317.00,61826.00,610,3
128,40,66,Female,15389.00,31377.00,59615.00,722,2
775,37,58,Male,21402.00,43638.00,104052.00,627,1
1536,41,67,Male,15955.00,32531.00,38260.00,766,2
140,37,72,Female,20657.00,42120.00,72801.00,739,4
1884,18,64,Male,28092.00,57281.00,89114.00,850,1
1874,49,66,Male,18828.00,38390.00,87923.00,783,4
1310,33,69,Female,17498.00,35670.00,58182.00,751,2
1689,21,66,Female,30281.00,61746.00,154817.00,637,2
379,47,65,Female,21331.00,43496.00,114563.00,765,3
34,41,55,Male,25431.00,51854.00,72162.00,737,2
822,51,68,Female,16942.00,34540.00,22641.00,793,5
1499,46,62,Male,20248.00,41287.00,88151.00,662,1
1780,46,70,Male,18663.00,38054.00,63293.00,666,1
1806,59,62,Female,39418.00,80371.00,108499.00,822,1
811,91,68,Female,51642.00,84694.00,2149.00,741,7
1844,79,72,Male,23608.00,37503.00,14272.00,706,5
1852,57,75,Male,32056.00,65357.00,21844.00,685,4
1231,26,52,Female,10819.00,22066.00,38967.00,842,1
970,42,66,Male,21916.00,44681.00,42011.00,770,3
381,26,69,Male,25163.00,51306.00,68198.00,675,1
1134,18,59,Female,12677.00,25847.00,46379.00,568,1
1296,60,64,Female,22896.00,46683.00,93126.00,788,5
1880,61,66,Male,15487.00,31579.00,52419.00,771,3
322,47,65,Male,13759.00,28055.00,12475.00,829,3
461,42,68,Female,32078.00,65403.00,80057.00,784,4
1165,55,73,Female,13522.00,27572.00,59404.00,797,1
1448,48,70,Female,18899.00,38539.00,0.00,850,3
1288,41,57,Female,18666.00,38059.00,68220.00,634,2
1178,59,68,Female,25872.00,52754.00,38191.00,693,5
1391,45,59,Male,25109.00,51196.00,67164.00,631,4
838,26,70,Male,24382.00,49713.00,91776.00,763,1
54,21,68,Female,21660.00,44160.00,134173.00,696,3
1452,46,59,Female,95039.00,193773.00,241571.00,660,1
1602,41,66,Female,14650.00,29864.00,44902.00,717,2
1938,22,67,Male,28135.00,57367.00,115418.00,795,2
1492,63,58,Female,32697.00,56635.00,13015.00,786,8
688,44,67,Male,23165.00,47227.00,151030.00,760,4
749,22,68,Male,12051.00,24574.00,80667.00,674,3
643,29,65,Female,21283.00,43397.00,42168.00,697,2
1219,28,72,Female,28497.00,58105.00,70254.00,688,3
1198,82,67,Male,15092.00,10869.00,1820.00,820,2
898,90,66,Female,12427.00,19893.00,1712.00,566,3
882,63,65,Male,18019.00,36743.00,71719.00,612,2
348,49,70,Female,22747.00,46377.00,79980.00,719,3
633,36,69,Female,24611.00,50179.00,110515.00,743,1
